code	Year	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Hollister et al., 2015_83	2015	SP	4	6.225	0.478713554	0	NA	NA	4	6.225	0.330403793	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	1	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	2015	AGB	4	101.7	21.83040693	0	NA	NA	4	91.275	13.75775539	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	1	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	2015	COV	4	101.7	21.83040693	0	NA	NA	4	91.275	13.75775539	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	1	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	2015	H	4	0.6875	0.329987373	0	NA	NA	4	0.8175	0.175760253	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	1	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	2015	Ratio_S	4	39.23	2.107621092	0	NA	NA	4	46.29	4.090158921	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	1	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	2015	SP	4	6.075	0.567890835	0	NA	NA	4	6.575	0.82209083	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	1	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Huang et al., 2015	2015	AGB	6	61.5	40.30508653	NA	NA	NA	NA	NA	NA	6	130.5	98.28784258	6	75	43.84062043	6	93	49.49747468	NA	NA	NA	44.3	87.9	1	1	6.6	160	NA	NA	NA	NA	40.41	5	NA	NA	NA	202.05
Hudson & Henry (2010)_22	2010	COV	3	113.9333333	13.99368905	0	NA	NA	3	122.9666667	14.37857202	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	1	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	2010	H	3	2.156666667	0.155349069	0	NA	NA	3	2.11	0.121243557	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	1	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	2010	SP	3	15.96666667	2.510644008	0	NA	NA	3	16.5	3.251153641	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	1	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	2010	Ratio_S	3	0.495975677	0.024243017	0	NA	NA	3	0.491757596	0.027430597	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	1	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Jonsdottir et al., 2005_Audkuluheidi	2005	SP	10	13.75	0.212132034	0	NA	NA	10	14.45	0.070710678	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Jonsdottir et al., 2005_Audkuluheidi	2005	H	10	0.675	0.007071068	0	NA	NA	10	0.72	0.042426407	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Jonsdottir et al., 2005_Audkuluheidi	2005	DEN	10	116.25	1.343502884	0	NA	NA	10	118.05	2.192031022	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Jonsdottir et al., 2005_Audkuluheidi	2005	Ratio_S	10	0.176	0.0098	0	NA	NA	10	0.239	0.045	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan	2023	COV	4	0.780555556	0.375633895	4	0.622222222	0.205680643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	1	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan	2023	H	4	1.4786749	0.506853245	4	1.259927591	0.383646162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	1	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan	2023	SP	4	7.014388489	4.282237752	4	6.420863309	3.297405712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	1	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan	2023	Ratio_S	4	0.321645843	0.125200672	4	0.406928771	0.144951871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	1	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan_disturbance	2023	COV	4	0.744444444	0.385967866	4	0.622222222	0.15126354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	2	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan_disturbance	2023	H	4	1.4236651	0.413448369	4	1.102921598	0.393516393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	2	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan_disturbance	2023	SP	4	8.417266187	4.558846977	4	6.528776978	3.363838299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	2	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Chihuahuan_disturbance	2023	Ratio_S	4	0.369273803	0.13261606	4	0.443338075	0.097308672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.55	-106.77	2	1	18.1	246.6	tem	NA	NA	-221.186	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin	2023	COV	4	0.647727273	0.307336823	4	0.518181818	0.16713433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	1	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin	2023	H	4	1.472729966	0.512108969	4	1.250960021	0.38091555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	1	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin	2023	SP	4	6.914893617	4.221496791	4	6.329787234	3.250633999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	1	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin	2023	Ratio_S	4	0.299471238	0.095555724	4	0.369033005	0.085827619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	1	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin_disturbance	2023	COV	4	0.618181818	0.31579189	4	0.515909091	0.124951781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	2	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin_disturbance	2023	H	4	1.411549071	0.410356321	4	1.097991233	0.390378724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	2	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin_disturbance	2023	SP	4	8.271276596	4.48357245	4	6.462765957	3.298873104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	2	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Great Basin_disturbance	2023	Ratio_S	4	0.158380457	0.134606984	4	0.171133894	0.156357152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.25	-116.22	2	1	10.3	297.9	tem	NA	NA	-113.996	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave	2023	COV	4	0.315625	0.177181345	4	0.216666667	0.137983158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	1	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave	2023	H	4	1.648963018	0.49697887	4	1.440323084	0.332919529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	1	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave	2023	SP	4	10.13221154	8.581730769	4	8.329326923	7.317846248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	1	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave	2023	Ratio_S	4	0.806006666	0.266238985	4	0.802355741	0.206517767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	1	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave_disturbance	2023	COV	4	0.234375	0.227592447	4	0.159375	0.161351891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	2	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave_disturbance	2023	H	4	1.598261163	0.603958889	4	1.522743521	0.39028648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	2	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave_disturbance	2023	SP	4	10.09615385	9.365749874	4	7.932692308	7.148765255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	2	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Jordan 2023_Mojave_disturbance	2023	Ratio_S	4	0.672379796	0.38192252	4	0.802355741	0.206517767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.83	-116.02	2	1	19.8	347	tem	NA	NA	-97.38665	NA	NA	NA	NA	NA	NA
Kimball et al. 2014_35	2014	Ratio_S	4	0.412355212	0.208618105	4	0.271042471	0.097231904	0	NA	NA	4	0.550579151	0.278202409	4	0.312741313	0.180024938	4	0.428314028	0.193447211	0	NA	NA	33.74	-117.7	2	1	17	300	Med & Des	NA	NA	-171.6	120	1.5	NA	NA	-257.4	180
Klanderud & Totland, 2005_26	2005	DEN	10	12.12	1.71119841	0	NA	NA	10	12.34	3.309259736	0	NA	NA	10	11.875	3.358757211	0	NA	NA	10	10.585	5.366940469	60.6	7.52	1	1	6.3	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klanderud & Totland, 2005_26	2005	H	10	3.12	0.183847763	0	NA	NA	10	3.185	0.219203102	0	NA	NA	10	3.21	0.127279221	0	NA	NA	10	3.145	0.756604256	60.6	7.52	1	1	6.3	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klanderud & Totland, 2005_26	2005	SP	10	38.35	3.323401872	0	NA	NA	10	39.15	7.14177849	0	NA	NA	10	40.3	4.242640687	0	NA	NA	10	34.35	14.35426766	60.6	7.52	1	1	6.3	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klein et al 2004_18	2004	SP	8	35	2.556818182	0	NA	NA	8	26.05113636	2.897727273	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2004_19	2004	SP	8	31.25	2.727272727	0	NA	NA	8	30.73863636	3.068181818	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_20	2004	ANPP	8	221.4765101	11.38963943	0	NA	NA	8	211.409396	11.38963943	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_21	2004	ANPP	8	210	11.3137085	0	NA	NA	8	218	16.97056275	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_1001	2015	COV	3	616.6666667	112.5	3	612.5	83.33333333	3	653.3613445	100.8403361	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	7.4	1263	Tem	0.2	NA	-316	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_1001	2015	SP	3	3.748691099	0.502617801	3	3.6875	0.625	3	3.308900524	0.502617801	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	7.4	1263	Tem	0.2	NA	-316	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_2	2015	COV	3	241.6666667	33.33333333	3	233.3333333	16.66666667	3	212.6055956	100.8403361	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_2	2015	SP	3	2.115183246	0.502617801	3	2.1875	0.375	3	2.178010471	0.753926702	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_3	2015	COV	3	391.6666667	33.33333333	3	391.6	41.66666667	3	371.8487395	33.61344538	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_3	2015	SP	3	7.078534031	2.513089005	3	6.875	2.25	3	7.078534031	1.759162304	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_4	2015	COV	3	741.6666667	83.33333333	3	729.1666667	91.66666667	3	632.3529412	88.23529412	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	1	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_5	2015	COV	3	100	12.5	3	129.1666667	12.5	3	77.73109244	8.403361345	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_5	2015	SP	3	9.214659686	2.261780105	3	9.1875	3	3	8.209424084	2.261780105	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	1	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	2015	AGB	6	264.2766667	38.35864631	3	240.29	37.85562679	3	239.64	35.61044285	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	2015	COV	3	83.33333333	8.333333333	3	79.16666667	4.166666667	3	77.73109244	8.403361345	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	2015	SP	3	10.03141361	2.638743455	3	10	1.5	3	11.16230366	1.633507853	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_7-garraf	2015	COV	3	235	67.66917293	3	234.962406	60.15037594	3	258	120.3007519	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_7-garraf	2015	SP	3	14.68062827	1.759162304	3	11.75	2.375	3	13.10994764	2.136125654	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Li et al., 2024_Drought20	2024	SP	6	6.866666667	0.882420912	6	6.5	0.944457516	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	-34.22	NA	NA	NA	NA	NA	NA
Li et al., 2024_Drought40	2024	SP	6	6.866666667	0.882420912	6	5.5	0.883176087	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	-68.44	NA	NA	NA	NA	NA	NA
Li et al., 2024_Drought60	2024	SP	6	6.866666667	0.882420912	6	6.166666667	0.784006803	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	-102.66	NA	NA	NA	NA	NA	NA
Li et al., 2024_Irrigation20	2024	SP	6	6.866666667	0.882420912	NA	NA	NA	NA	NA	NA	6	8.6	0.55136195	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	NA	102.66	NA	NA	NA	NA	NA
Li et al., 2024_Irrigation40	2024	SP	6	6.866666667	0.882420912	NA	NA	NA	NA	NA	NA	6	8.8	0.505964426	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	NA	68.44	NA	NA	NA	NA	NA
Li et al., 2024_Irrigation60	2024	SP	6	6.866666667	0.882420912	NA	NA	NA	NA	NA	NA	6	8.166666667	1.488175617	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.42	106.97	1	2	5.3	173	NA	NA	NA	NA	34.22	NA	NA	NA	NA	NA
Liu et al, 2022_nitrogen	2022	DEN	3	362.6666667	79.65550828	0	NA	NA	0	NA	NA	0	NA	NA	3	394.3333333	96.20420989	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, 2022_nitrogen	2022	Ratio_S	3	89.54403108	3.710979579	0	NA	NA	0	NA	NA	0	NA	NA	3	70.29040087	6.004185443	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, 2022_nitrogen	2022	SP	3	12.11111111	1.364225462	0	NA	NA	0	NA	NA	0	NA	NA	3	11.55555556	2.068278941	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, 2022	2022	AGB	3	714.2194542	135.0353105	3	701.9315263	151.5376301	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al, 2022	2022	COV	3	33.82222222	3.564604498	3	33.61851852	4.532283935	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2017_9	2017	H	3	2.4	0.12	3	2.19	0.09	3	2.33	0.13	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2017_9	2017	Ratio_S	3	0.82	0.04	3	0.89	0.06	3	0.86	0.04	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2022	2022	SP	3	12.65079365	1.492485586	3	10.52380952	1.167006753	3	11.9047619	1.650396779	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	2	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Lokken et al 2019_54	2019	COV	3	82	3.408135871	0	NA	NA	3	72.08	8.596107646	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	62.3	9.62	1	1	-0.2	454	Alp	1.6	NA	NA	NA	NA	NA	NA	NA	NA
Lokken et al 2019_54	2019	Ratio_S	3	41.28777286	6.874200803	0	NA	NA	3	60.08253245	7.441077612	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	62.3	9.62	1	1	-0.2	454	Alp	1.6	NA	NA	NA	NA	NA	NA	NA	NA
Madan et al., 2007_96	2007	COV	5	47.7	7.315538258	0	NA	NA	0	NA	NA	0	NA	NA	5	36.30333333	4.598068435	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_96	2007	H	5	1.713333333	0.172143351	0	NA	NA	0	NA	NA	0	NA	NA	5	1.713333333	0.182300119	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_96	2007	SP	5	10.30666667	1.400047618	0	NA	NA	0	NA	NA	0	NA	NA	5	8.37	1.200041666	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	2007	COV	5	47.7	7.315538258	0	NA	NA	0	NA	NA	0	NA	NA	5	43.62	5.115632903	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	2007	H	5	1.713333333	0.172143351	0	NA	NA	0	NA	NA	0	NA	NA	5	1.703333333	0.077674535	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	2007	SP	5	10.30666667	1.400047618	0	NA	NA	0	NA	NA	0	NA	NA	5	11.21333333	0.309246396	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Massad et al., 2013_108	2013	H	3	2.199274194	0.168679182	0	NA	NA	0	NA	NA	0	NA	NA	3	1.591370968	0.001938841	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_108	2013	SP	3	13.3775	2.4713382	0	NA	NA	0	NA	NA	0	NA	NA	3	9.375	0.530330086	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_109	2013	H	3	2.308790323	0.157274234	0	NA	NA	0	NA	NA	0	NA	NA	3	1.967580645	0.102416434	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_109	2013	SP	3	13.375	0.530330086	0	NA	NA	0	NA	NA	0	NA	NA	3	11.125	0.176776695	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_110	2013	H	3	1.42	0.183847763	0	NA	NA	0	NA	NA	0	NA	NA	3	1.43	0.197989899	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_110	2013	SP	3	5.185	0.799030663	0	NA	NA	0	NA	NA	0	NA	NA	3	5.505	0.176776695	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_111	2013	H	3	1.23	0.113137085	0	NA	NA	0	NA	NA	0	NA	NA	3	1.07	0.056568542	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_111	2013	SP	3	4.375	0.346482323	0	NA	NA	0	NA	NA	0	NA	NA	3	4.25	0.169705627	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Matis et al 2011_64	2011	H	3	0.691729323	0.05	3	0.458646617	0.05	0	NA	NA	3	0.789473684	0.05	0	NA	NA	0	NA	NA	0	NA	NA	37.08	-3.47	1	1	7.58	888	Med & Des	NA	NA	-106.73	180	NA	NA	NA	NA	NA
Matis et al 2011_64	2011	SP	3	1.378995434	0.347031963	3	1.132420091	0.273972603	0	NA	NA	3	2.127853881	0.456621005	0	NA	NA	0	NA	NA	0	NA	NA	37.08	-3.47	1	1	7.58	888	Med & Des	NA	NA	-106.73	180	NA	NA	NA	NA	NA
McAbee et al 2017_154	2017	AGB	4	1.92513369	0.60501115	0	NA	NA	0	NA	NA	4	4.064171123	1.815033449	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_155	2017	AGB	4	1.92513369	0.60501115	0	NA	NA	0	NA	NA	4	7.700534759	0.907516725	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_156	2017	AGB	4	11.3368984	7.260133796	0	NA	NA	0	NA	NA	4	21.17647059	7.562639371	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_157	2017	AGB	4	11.3368984	7.260133796	0	NA	NA	0	NA	NA	4	37.64705882	6.352617072	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
